Name,Set,Types,Cost,Text,Actions,Cards,Buys,Coins,Trash,Exile,Junk,Gain,Victory
Adventurer,"Base, 1E",Action,6,Reveal cards from your deck until you reveal 2 Treasure cards. Put those Treasure cards into your hand and discard the other revealed cards.,,+2,,,,,,,
Artisan,"Base, 2E",Action,6,Gain a card to your hand costing up to .Put a card from your hand onto your deck.,,"(+1), -1",,,,,,1,
Bandit,"Base, 2E",Action - Attack,5,"Gain a Gold. Each other player reveals the top 2 cards of their deck, trashes a revealed Treasure other than Copper, and discards the rest.",,,,,,,,1,
Bureaucrat,Base,Action - Attack,4,Gain a Silver onto your deck. Each other player reveals a Victory card from their hand and puts it onto their deck (or reveals a hand with no Victory cards).,,,,,,,,1,
Cellar,Base,Action,2,+1 ActionDiscard any number of cards. +1 Card per card discarded.,+1,"-X, +X",,,,,,,
Chancellor,"Base, 1E",Action,3,+You may immediately put your deck into your discard pile.,,,,+,,,,,
Chapel,Base,Action,2,Trash up to 4 cards from your hand.,,,,,0-4,,,,
Council Room,Base,Action,5,+4 Cards+1 BuyEach other player draws a card.,,+4,+1,,,,,,
Feast,"Base, 1E",Action,4,Trash this card. Gain a card costing up to .,,,,,Self,,,1,
Festival,Base,Action,5,+2 Actions+1 Buy+,+2,,+1,+,,,,,
Gardens,Base,Victory,4,Worth 1  per 10 cards you have (round down).,,,,,,,,,X
Harbinger,"Base, 2E",Action,3,+1 Card+1 ActionLook through your discard pile. You may put a card from it onto your deck.,+1,+1,,,,,,,
Laboratory,Base,Action,5,+2 Cards+1 Action,+1,+2,,,,,,,
Library,Base,Action,5,"Draw until you have 7 cards in hand, skipping any Action cards you choose to; set those aside, discarding them afterwards.",,=7,,,,,,,
Market,Base,Action,5,+1 Card+1 Action+1 Buy+,+1,+1,+1,+,,,,,
Merchant,"Base, 2E",Action,3,"+1 Card+1 ActionThe first time you play a Silver this turn, +.",+1,+1,,!+,,,,,
Militia,Base,Action - Attack,4,+Each other player discards down to 3 cards in hand.,,,,+,,,,,
Mine,Base,Action,5,You may trash a Treasure from your hand. Gain a Treasure to your hand costing up to  more than it.,,!(+1),,,1?,,,!1,
Moat,Base,Action - Reaction,2,"+2 CardsWhen another player plays an Attack card, you may first reveal this from your hand, to be unaffected by it.",,+2,,,,,,,
Moneylender,Base,Action,4,You may trash a Copper from your hand for +.,,,,!+,1?,,,,
Poacher,"Base, 2E",Action,4,+1 Card+1 Action+Discard a card per empty Supply pile.,+1,"+1, -X",,+,,,,,
Remodel,Base,Action,4,Trash a card from your hand. Gain a card costing up to  more than it.,,,,,1,,,!1,
Sentry,"Base, 2E",Action,5,+1 Card+1 ActionLook at the top 2 cards of your deck. Trash and/or discard any number of them. Put the rest back on top in any order.,+1,+1,,,0-2?,,,,
Smithy,Base,Action,4,+3 Cards,,+3,,,,,,,
Spy,"Base, 1E",Action - Attack,4,"+1 Card+1 ActionEach player (including you) reveals the top card of their deck and either discards it or puts it back, your choice.",+1,+1,,,,,,,
Thief,"Base, 1E",Action - Attack,4,"Each other player reveals the top 2 cards of their deck. If they revealed any Treasure cards, they trash one of them that you choose. You may gain any or all of these trashed cards. They discard the other revealed cards.",,,,,,,,X,
Throne Room,Base,Action,4,You may play an Action card from your hand twice.,P2?,,,,,,,,
Vassal,"Base, 2E",Action,3,"+Discard the top card of your deck. If it's an Action card, you may play it.",!P1?,,,+,,,,,
Village,Base,Action,3,+1 Card+2 Actions,+2,+1,,,,,,,
Witch,Base,Action - Attack,5,+2 CardsEach other player gains a Curse.,,+2,,,,,1,,
Woodcutter,"Base, 1E",Action,3,+1 Buy+,,,+1,+,,,,,
Workshop,Base,Action,3,Gain a card costing up to .,,,,,,,,1,
Copper,Base,Treasure,0,,,,,+,,,,,
Silver,Base,Treasure,3,,,,,+,,,,,
Gold,Base,Treasure,6,,,,,+,,,,,
Estate,Base,Victory,2,1,,,,,,,,,1
Duchy,Base,Victory,5,3,,,,,,,,,3
Province,Base,Victory,8,6,,,,,,,,,6
Curse,Base,Curse,0,-1,,,,,,,,,-1
Baron,Intrigue,Action,4,"+1 BuyYou may discard an Estate for +. If you don't, gain an Estate.",,-1?,+1,!+,,,,!1,
Bridge,Intrigue,Action,4,"+1 Buy+This turn, cards (everywhere) cost  less.",,,+1,"+, R1",,,,,
Conspirator,Intrigue,Action,4,"+If you've played 3 or more Actions this turn (counting this), +1 Card and +1 Action.",!+1,!+1,,+,,,,,
Coppersmith,"Intrigue, 1E",Action,4,Copper produces an extra  this turn.,,,,+,,,,,
Courtier,"Intrigue, 2E",Action,5,"Reveal a card from your hand. For each type it has (Action, Attack, etc.), choose one: +1 Action; or +1 Buy; or +; or gain a Gold. The choices must be different.",+1?,,+1?,+?,,,,1?,
Courtyard,Intrigue,Action,2,+3 CardsPut a card from your hand onto your deck.,,"+3, -1",,,,,,,
Diplomat,"Intrigue, 2E",Action - Reaction,4,"+2 CardsIf you have 5 or fewer cards in hand (after drawing), +2 Actions.When another player plays an Attack card, you may first reveal this from a hand of 5 or more cards, to draw 2 cards then discard 3.",!+2,"+2**+2, **-3",,,,,,,
Duke,Intrigue,Victory,5,Worth 1  per Duchy you have.,,,,,,,,,X
Great Hall,"Intrigue, 1E",Action - Victory,3,+1 Card+1 Action1,+1,+1,,,,,,,1
Harem  Farm,Intrigue,Treasure - Victory,6,2,,,,+,,,,,2
Ironworks,Intrigue,Action,4,"Gain a card costing up to .If the gained card is an…Action card, +1 ActionTreasure card, +Victory card, +1 Card",!+1,!+1,,!+,,,,1,
Lurker,"Intrigue, 2E",Action,2,+1 ActionChoose one: Trash an Action card from the Supply; or gain an Action card from the trash.,+1,,,,1 Supply?,,,1?,
Masquerade,Intrigue,Action,3,"+2 CardsEach player with any cards in hand passes one to the next such player to their left, at once. Then you may trash a card from your hand.",,"+2, -1",,,1?,,"1?, !Self",1,
Mill,"Intrigue, 2E",Action - Victory,4,"+1 Card+1 ActionYou may discard 2 cards. If you do, +.1",+1,"+1, - 0-2?(X)",,!+,,,,,1
Mining Village,Intrigue,Action,4,+1 Card+2 ActionsYou may trash this for +.,+2,+1,,!+,Self?,,,,
Minion,Intrigue,Action - Attack,5,"+1 ActionChoose one: +; or discard your hand, +4 Cards, and each other player with at least 5 cards in hand discards their hand and draws 4 cards.",+1,-X +4 ?,,+?,,,,,
Nobles,Intrigue,Action - Victory,6,Choose one: +3 Cards; or +2 Actions.2,+2?,+3?,,,,,,,2
